Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
Abbott,109-901,YES,III,YES,$20 Million,$10 Million
Abernathy,095-901,YES,I,YES,$30 Million,$30 Million
Abilene,221-901,YES,I,YES,$30 Million,$30 Million
Academy,014-901,YES,III,NO,$20 Million,$10 Million
Adrian,180-903,YES,I,YES,$30 Million,$30 Million
Agua Dulce,178-901,YES,III,YES,$20 Million,$10 Million
Alamo Heights,015-901,NO,II,NO,$80 Million,$80 Million
Alba-Golden,250-906,YES,III,YES,$20 Million,$10 Million
Albany,209-901,YES,II,YES,$25 Million,$20 Million
Aldine,101-902,NO,I,NO,$100 Million,$100 Million
Aledo,184-907,NO,II,NO,$80 Million,$80 Million
Alice,125-901,YES,I,YES,$30 Million,$30 Million
Alief,101-903,NO,I,NO,$100 Million,$100 Million
Allen,043-901,NO,I,NO,$100 Million,$100 Million
Alpine,022-901,YES,III,YES,$20 Million,$10 Million
Alto,037-901,YES,III,NO,$20 Million,$10 Million
Alvarado,126-901,NO,II,NO,$80 Million,$80 Million
Alvin,020-901,YES,I,NO,$30 Million,$30 Million
Alvord,249-901,YES,III,YES,$20 Million,$10 Million
Amarillo,188-901,NO,II,NO,$80 Million,$80 Million
Amherst,140-901,YES,III,YES,$20 Million,$10 Million
Anahuac,036-901,NO,III,NO,$60 Million,$60 Million
Anderson-Shiro,093-901,YES,II,YES,$25 Million,$20 Million
Andrews,002-901,YES,I,YES,$30 Million,$30 Million
Angleton,020-902,YES,I,NO,$30 Million,$30 Million
Anna,043-902,NO,II,NO,$80 Million,$80 Million
Anson,127-901,YES,III,YES,$20 Million,$10 Million
Anthony,071-906,YES,III,NO,$20 Million,$10 Million
Anton,110-901,YES,III,YES,$20 Million,$10 Million
Apple Springs,228-905,YES,IV,YES,$15 Million,$5 Million
Aquilla,109-912,YES,III,YES,$20 Million,$10 Million
Aransas County,004-901,YES,III,YES,$20 Million,$10 Million
Aransas Pass,205-901,YES,III,YES,$20 Million,$10 Million
Archer City,005-901,YES,I,YES,$30 Million,$30 Million
Argyle,061-910,NO,II,NO,$80 Million,$80 Million
Arlington,220-901,NO,I,NO,$100 Million,$100 Million
Arp,212-901,NO,IV,NO,$40 Million,$40 Million
Aspermont,217-901,YES,III,YES,$20 Million,$10 Million
Athens,107-901,NO,II,NO,$80 Million,$80 Million
Atlanta,034-901,YES,III,YES,$20 Million,$10 Million
Aubrey,061-907,NO,II,NO,$80 Million,$80 Million
Austin,227-901,NO,I,NO,$100 Million,$100 Million
Austwell-Tivoli,196-901,YES,III,YES,$20 Million,$10 Million
Avalon,070-901,NO,V,NO,$20 Million,$20 Million
Avery,194-902,YES,IV,YES,$15 Million,$5 Million
Avinger,034-902,YES,III,YES,$20 Million,$10 Million
Axtell,161-918,YES,IV,YES,$15 Million,$5 Million
Azle,220-915,NO,II,NO,$80 Million,$80 Million
Baird,030-903,YES,III,YES,$20 Million,$10 Million
Ballinger,200-901,YES,III,YES,$20 Million,$10 Million
Balmorhea,195-902,YES,I,YES,$30 Million,$30 Million
Bandera,010-902,YES,III,YES,$20 Million,$10 Million
Bangs,025-901,YES,III,YES,$20 Million,$10 Million
Banquete,178-913,YES,I,NO,$30 Million,$30 Million
Barbers Hill,036-902,NO,II,NO,$80 Million,$80 Million
Bartlett,014-902,YES,III,YES,$20 Million,$10 Million
Bastrop,011-901,NO,II,NO,$80 Million,$80 Million
Bay City,158-901,YES,I,YES,$30 Million,$30 Million
Beaumont,123-910,YES,I,NO,$30 Million,$30 Million
Beckville,183-901,YES,II,YES,$25 Million,$20 Million
Beeville,013-901,YES,III,YES,$20 Million,$10 Million
Bellevue,039-904,YES,III,YES,$20 Million,$10 Million
Bells,091-901,NO,IV,NO,$40 Million,$40 Million
Bellville,008-901,YES,III,YES,$20 Million,$10 Million
Belton,014-903,YES,III,NO,$20 Million,$10 Million
Ben Bolt-Palito Blanco,125-902,YES,III,YES,$20 Million,$10 Million
Benavides,066-901,YES,II,YES,$25 Million,$20 Million
Benjamin,138-904,YES,III,YES,$20 Million,$10 Million
Big Sandy,187-901,YES,III,NO,$20 Million,$10 Million
Big Sandy,230-901,YES,III,YES,$20 Million,$10 Million
Big Spring,114-901,YES,I,YES,$30 Million,$30 Million
Birdville,220-902,NO,I,NO,$100 Million,$100 Million
Bishop,178-902,YES,I,NO,$30 Million,$30 Million
Blackwell,177-903,YES,I,YES,$30 Million,$30 Million
Blanco,016-902,NO,II,NO,$80 Million,$80 Million
Bland,116-915,YES,IV,NO,$15 Million,$5 Million
Blanket,025-904,YES,III,YES,$20 Million,$10 Million
Bloomburg,034-909,YES,IV,YES,$15 Million,$5 Million
Blooming Grove,175-902,NO,IV,NO,$40 Million,$40 Million
Bloomington,235-901,NO,IV,NO,$40 Million,$40 Million
Blue Ridge,043-917,YES,III,YES,$20 Million,$10 Million
Bluff Dale,072-904,YES,IV,YES,$15 Million,$5 Million
Blum,109-913,YES,III,YES,$20 Million,$10 Million
Boerne,130-901,NO,II,NO,$80 Million,$80 Million
Boles Home,116-916,YES,V,NO,$10 Million,$1 Million
Boling,241-901,YES,III,YES,$20 Million,$10 Million
Bonham,074-903,YES,III,YES,$20 Million,$10 Million
Booker,148-901,YES,III,YES,$20 Million,$10 Million
Borden County,017-901,YES,I,YES,$30 Million,$30 Million
Borger,117-901,YES,I,YES,$30 Million,$30 Million
Bosqueville,161-923,NO,IV,NO,$40 Million,$40 Million
Bovina,185-901,YES,III,YES,$20 Million,$10 Million
Bowie,169-901,YES,II,YES,$25 Million,$20 Million
Boyd,249-902,NO,III,NO,$60 Million,$60 Million
Brackett,136-901,YES,V,YES,$10 Million,$1 Million
Brady,160-901,YES,I,YES,$30 Million,$30 Million
Brazos,008-903,YES,III,YES,$20 Million,$10 Million
Brazosport,020-905,YES,I,NO,$30 Million,$30 Million
Breckenridge,215-901,YES,III,YES,$20 Million,$10 Million
Bremond,198-901,YES,III,YES,$20 Million,$10 Million
Brenham,239-901,YES,I,YES,$30 Million,$30 Million
Bridge City,181-901,YES,II,NO,$25 Million,$20 Million
Bridgeport,249-903,NO,II,NO,$80 Million,$80 Million
Broaddus,203-902,YES,III,YES,$20 Million,$10 Million
Brock,184-909,NO,III,NO,$60 Million,$60 Million
Bronte,041-901,YES,III,YES,$20 Million,$10 Million
Brookeland,121-902,YES,III,YES,$20 Million,$10 Million
Brookesmith,025-908,YES,IV,YES,$15 Million,$5 Million
Brooks,024-901,YES,III,YES,$20 Million,$10 Million
Brownfield,223-901,YES,II,YES,$25 Million,$20 Million
Brownsboro,107-902,NO,III,NO,$60 Million,$60 Million
Brownsville,031-901,YES,I,NO,$30 Million,$30 Million
Brownwood,025-902,YES,I,YES,$30 Million,$30 Million
Bruceville-Eddy,161-919,YES,III,YES,$20 Million,$10 Million
Bryan,021-902,YES,I,YES,$30 Million,$30 Million
Bryson,119-901,YES,II,YES,$25 Million,$20 Million
Buckholts,166-907,YES,IV,YES,$15 Million,$5 Million
Buena Vista,186-901,YES,I,YES,$30 Million,$30 Million
Buffalo,145-901,YES,III,YES,$20 Million,$10 Million
Bullard,212-902,YES,III,NO,$20 Million,$10 Million
Buna,121-903,YES,III,YES,$20 Million,$10 Million
Burkburnett,243-901,YES,I,YES,$30 Million,$30 Million
Burkeville,176-901,YES,III,YES,$20 Million,$10 Million
Burleson,126-902,NO,II,NO,$80 Million,$80 Million
Burnet,027-903,YES,III,YES,$20 Million,$10 Million
Burton,239-903,YES,III,YES,$20 Million,$10 Million
Bushland,188-904,NO,II,NO,$80 Million,$80 Million
Bynum,109-902,YES,III,YES,$20 Million,$10 Million
Caddo Mills,116-901,YES,III,NO,$20 Million,$10 Million
Calallen,178-903,YES,I,NO,$30 Million,$30 Million
Caldwell,026-901,YES,II,YES,$25 Million,$20 Million
Calhoun County,029-901,YES,I,YES,$30 Million,$30 Million
Callisburg,049-905,YES,III,YES,$20 Million,$10 Million
Calvert,198-902,YES,III,YES,$20 Million,$10 Million
Cameron,166-901,YES,III,YES,$20 Million,$10 Million
Campbell,116-910,YES,V,NO,$10 Million,$1 Million
Canadian,106-901,YES,II,YES,$25 Million,$20 Million
Canton,234-902,NO,III,NO,$60 Million,$60 Million
Canutillo,071-907,YES,I,NO,$30 Million,$30 Million
Canyon,191-901,NO,II,NO,$80 Million,$80 Million
Carlisle,201-913,YES,III,NO,$20 Million,$10 Million
Carrizo Springs,064-903,YES,I,YES,$30 Million,$30 Million
Carroll,220-919,NO,II,NO,$80 Million,$80 Million
Carrollton-Farmers Branch,057-903,NO,I,NO,$100 Million,$100 Million
Carthage,183-902,YES,I,YES,$30 Million,$30 Million
Castleberry,220-917,NO,III,NO,$60 Million,$60 Million
Cayuga,001-902,NO,IV,NO,$40 Million,$40 Million
Cedar Hill,057-904,NO,II,NO,$80 Million,$80 Million
Celeste,116-902,YES,IV,NO,$15 Million,$5 Million
Celina,043-903,NO,II,NO,$80 Million,$80 Million
Center,210-901,YES,III,YES,$20 Million,$10 Million
Center Point,133-901,NO,IV,NO,$40 Million,$40 Million
Centerville,145-902,YES,III,YES,$20 Million,$10 Million
Centerville,228-904,YES,IV,YES,$15 Million,$5 Million
Central,003-907,YES,III,NO,$20 Million,$10 Million
Central Heights,174-908,YES,III,NO,$20 Million,$10 Million
Channelview,101-905,NO,II,NO,$80 Million,$80 Million
Channing,103-901,YES,III,YES,$20 Million,$10 Million
Chapel Hill,212-909,NO,II,NO,$80 Million,$80 Million
Chapel Hill,225-906,YES,III,YES,$20 Million,$10 Million
Charlotte,007-901,YES,III,YES,$20 Million,$10 Million
Cherokee,206-903,YES,IV,YES,$15 Million,$5 Million
Chester,229-906,YES,IV,YES,$15 Million,$5 Million
Chico,249-904,NO,III,NO,$60 Million,$60 Million
Childress,038-901,YES,III,YES,$20 Million,$10 Million
Chillicothe,099-902,YES,III,YES,$20 Million,$10 Million
Chilton,073-901,YES,III,YES,$20 Million,$10 Million
China Spring,161-920,YES,III,YES,$20 Million,$10 Million
Chireno,174-901,YES,III,YES,$20 Million,$10 Million
Chisum,139-905,YES,I,YES,$30 Million,$30 Million
Christoval,226-901,NO,IV,NO,$40 Million,$40 Million
Cisco,067-902,YES,I,YES,$30 Million,$30 Million
City View,243-906,NO,IV,NO,$40 Million,$40 Million
Clarendon,065-901,YES,II,YES,$25 Million,$20 Million
